CHP_Biomass_Solid,Combined Heat and Power|Biomass|w/o CCS
CHP_Biomass_Solid_CCS,Combined Heat and Power|Biomass|w/ CCS
CHP_Coal_Hardcoal,Combined Heat and Power|Coal|Hard Coal|w/o CCS
CHP_Coal_Hardcoal_CCS,Combined Heat and Power|Coal|Hard Coal|w/ CCS
CHP_Coal_Lignite,Combined Heat and Power|Coal|Lignite|w/o CCS
CHP_Coal_Lignite_CCS,Combined Heat and Power|Coal|Lignite|w/ CCS
CHP_Gas_CCGT_Biogas,Combined Heat and Power|Biogas|CCGT|w/o CCS
CHP_Gas_CCGT_Biogas_CCS,Combined Heat and Power|Biogas|CCGT|w/ CCS
CHP_Gas_CCGT_Natural,Combined Heat and Power|Gas|CCGT|w/o CCS
CHP_Gas_CCGT_Natural_CCS,Combined Heat and Power|Gas|CCGT|w/ CCS
CHP_Gas_CCGT_SynGas,Combined Heat and Power|Synthetic Methane|w/o CCS
CHP_Hydrogen_FuelCell,Combined Heat and Power|Hydrogen|Fuel Cell
CHP_Oil,Combined Heat and Power|Oil|Steam Turbine|w/o CCS
D_Battery_Li-Ion,Electricity|Electricity Storage|Lithium-Ion
D_Battery_Redox,Electricity|Electricity Storage|Redox Flow
D_CAES,Electricity|Electricity Storage|Compressed Air
D_PHS,Electricity|Electricity Storage|Pumped Storage
D_PHS_Residual,Electricity|Electricity Storage|Pumped Storage
D_Gas_H2,Energy Storage|Hydrogen|Salt Cavern
D_Gas_Methane,Energy Storage|Methane|Salt Cavern
D_HLI_Tank_Large,Heat|Energy Storage|Large Water Tank
D_HB_Tank_Small,Heat|Energy Storage|Small Water Tank
D_HD_Pit,Heat|Energy Storage|Water Pit
FRT_Rail_Conv,Transportation|Freight|Rail|Oil
FRT_Rail_Electric,Transportation|Freight|Rail|Electric
FRT_Road_BEV,Transportation|Freight|Road|Electric|Battery
FRT_Road_H2,Transportation|Freight|Road|Electric|Fuel Cell
FRT_Road_ICE,Transportation|Freight|Road|Internal Combustion Engine|Oil
FRT_Road_LNG,Transportation|Freight|Road|Internal Combustion Engine|LNG
FRT_Road_OH,Transportation|Freight|Road|Electric|Overhead
FRT_Road_PHEV,Transportation|Freight|Road|Plugin Hybrid
FRT_Ship_Bio,Transportation|Freight|Maritime|Biofuels
